tau = 4min

Point Number 	 Temperature 
 398 	 43.077860 
 399 	 43.077860 
 400 	 43.077860 
 401 	 43.043743 
 402 	 43.401972 
 403 	 42.992567 
 404 	 43.009626 
 405 	 43.333738 
 406 	 43.401972 
 407 	 43.350796 
 408 	 43.316679 
 409 	 43.248445 
 410 	 42.907274 
 411 	 42.873157 
 412 	 43.197270 
 413 	 42.873157 
 414 	 42.856099 
 415 	 43.180211 
 416 	 42.856099 
 417 	 42.821982 
 418 	 42.804923 
 419 	 43.197270 
 420 	 42.787865 
 421 	 42.787865 
 422 	 43.111977 
 423 	 43.060801 
 424 	 42.753748 
 425 	 43.026684 
 426 	 42.702572 
 427 	 42.685513 
 428 	 42.736689 
 429 	 42.651396 
 430 	 42.668455 
 431 	 42.941391 
 432 	 42.617279 
 433 	 42.600221 
 434 	 42.992567 
 435 	 42.600221 
 436 	 42.566104 
 437 	 42.907274 
 438 	 42.873157 
 439 	 42.531987 
 440 	 42.958450 
 441 	 42.514928 
 442 	 42.839040 
 443 	 42.480811 
 444 	 42.770806 
 445 	 42.463752 
 446 	 42.804923 
 447 	 42.446694 
 448 	 42.412577 
 449 	 42.429635 
 450 	 42.736689 
 451 	 42.395518 
 452 	 42.395518 
 453 	 42.395518 
 454 	 42.736689 
 455 	 42.344343 
 456 	 42.344343 
 457 	 42.617279 
 458 	 42.344343 
 459 	 42.685513 
 460 	 42.651396 
 461 	 42.634338 
 462 	 42.276109 
 463 	 42.617279 
 464 	 42.293167 
 465 	 42.276109 
 466 	 42.224933 
 467 	 42.241992 
 468 	 42.241992 
 469 	 42.190816 
 470 	 42.549045 
 471 	 42.207874 
 472 	 42.224933 
 473 	 42.224933 
 474 	 42.583162 
 475 	 42.549045 
 476 	 42.156699 
 477 	 42.156699 
 478 	 42.156699 
 479 	 42.514928 
 480 	 42.446694 
 481 	 42.480811 
 482 	 42.088465 
 483 	 42.071406 
 484 	 42.105523 
 485 	 42.446694 
 486 	 42.361401 
 487 	 42.037289 
 488 	 42.412577 
 489 	 42.395518 
 490 	 42.412577 
 491 	 42.037289 
 492 	 42.037289 
 493 	 42.003172 
 494 	 42.395518 
